B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,date,Actual,RATIO_B2_B3,ND_B2_B3,RATIO_B2_B4,ND_B2_B4,RATIO_B2_B5,ND_B2_B5,RATIO_B2_B6,ND_B2_B6,RATIO_B2_B7,ND_B2_B7,RATIO_B2_B8,ND_B2_B8,RATIO_B2_B8A,ND_B2_B8A,RATIO_B2_B11,ND_B2_B11,RATIO_B2_B12,ND_B2_B12,RATIO_B3_B2,ND_B3_B2,RATIO_B3_B4,ND_B3_B4,RATIO_B3_B5,ND_B3_B5,RATIO_B3_B6,ND_B3_B6,RATIO_B3_B7,ND_B3_B7,RATIO_B3_B8,ND_B3_B8,RATIO_B3_B8A,ND_B3_B8A,RATIO_B3_B11,ND_B3_B11,RATIO_B3_B12,ND_B3_B12,RATIO_B4_B2,ND_B4_B2,RATIO_B4_B3,ND_B4_B3,RATIO_B4_B5,ND_B4_B5,RATIO_B4_B6,ND_B4_B6,RATIO_B4_B7,ND_B4_B7,RATIO_B4_B8,ND_B4_B8,RATIO_B4_B8A,ND_B4_B8A,RATIO_B4_B11,ND_B4_B11,RATIO_B4_B12,ND_B4_B12,RATIO_B5_B2,ND_B5_B2,RATIO_B5_B3,ND_B5_B3,RATIO_B5_B4,ND_B5_B4,RATIO_B5_B6,ND_B5_B6,RATIO_B5_B7,ND_B5_B7,RATIO_B5_B8,ND_B5_B8,RATIO_B5_B8A,ND_B5_B8A,RATIO_B5_B11,ND_B5_B11,RATIO_B5_B12,ND_B5_B12,RATIO_B6_B2,ND_B6_B2,RATIO_B6_B3,ND_B6_B3,RATIO_B6_B4,ND_B6_B4,RATIO_B6_B5,ND_B6_B5,RATIO_B6_B7,ND_B6_B7,RATIO_B6_B8,ND_B6_B8,RATIO_B6_B8A,ND_B6_B8A,RATIO_B6_B11,ND_B6_B11,RATIO_B6_B12,ND_B6_B12,RATIO_B7_B2,ND_B7_B2,RATIO_B7_B3,ND_B7_B3,RATIO_B7_B4,ND_B7_B4,RATIO_B7_B5,ND_B7_B5,RATIO_B7_B6,ND_B7_B6,RATIO_B7_B8,ND_B7_B8,RATIO_B7_B8A,ND_B7_B8A,RATIO_B7_B11,ND_B7_B11,RATIO_B7_B12,ND_B7_B12,RATIO_B8_B2,ND_B8_B2,RATIO_B8_B3,ND_B8_B3,RATIO_B8_B4,ND_B8_B4,RATIO_B8_B5,ND_B8_B5,RATIO_B8_B6,ND_B8_B6,RATIO_B8_B7,ND_B8_B7,RATIO_B8_B8A,ND_B8_B8A,RATIO_B8_B11,ND_B8_B11,RATIO_B8_B12,ND_B8_B12,RATIO_B8A_B2,ND_B8A_B2,RATIO_B8A_B3,ND_B8A_B3,RATIO_B8A_B4,ND_B8A_B4,RATIO_B8A_B5,ND_B8A_B5,RATIO_B8A_B6,ND_B8A_B6,RATIO_B8A_B7,ND_B8A_B7,RATIO_B8A_B8,ND_B8A_B8,RATIO_B8A_B11,ND_B8A_B11,RATIO_B8A_B12,ND_B8A_B12,RATIO_B11_B2,ND_B11_B2,RATIO_B11_B3,ND_B11_B3,RATIO_B11_B4,ND_B11_B4,RATIO_B11_B5,ND_B11_B5,RATIO_B11_B6,ND_B11_B6,RATIO_B11_B7,ND_B11_B7,RATIO_B11_B8,ND_B11_B8,RATIO_B11_B8A,ND_B11_B8A,RATIO_B11_B12,ND_B11_B12,RATIO_B12_B2,ND_B12_B2,RATIO_B12_B3,ND_B12_B3,RATIO_B12_B4,ND_B12_B4,RATIO_B12_B5,ND_B12_B5,RATIO_B12_B6,ND_B12_B6,RATIO_B12_B7,ND_B12_B7,RATIO_B12_B8,ND_B12_B8,RATIO_B12_B8A,ND_B12_B8A,RATIO_B12_B11,ND_B12_B11
37,39,267,456,298,255,52,53,41,25,11/23/2024,35.46,0.585526316,-0.261410788,0.895973154,-0.054867257,1.047058824,0.022988506,5.134615385,0.673981191,5.037735849,0.66875,6.512195122,0.733766234,10.68,0.828767123,7.216216216,0.756578947,6.846153846,0.745098039,1.707865169,0.261410788,1.530201342,0.209549072,1.788235294,0.282700422,8.769230769,0.795275591,8.603773585,0.791748527,11.12195122,0.83501006,18.24,0.896049896,12.32432432,0.84989858,11.69230769,0.842424242,1.116104869,0.054867257,0.653508772,-0.209549072,1.168627451,0.077757685,5.730769231,0.702857143,5.622641509,0.698005698,7.268292683,0.758112094,11.92,0.845201238,8.054054054,0.779104478,7.641025641,0.768545994,0.95505618,-0.022988506,0.559210526,-0.282700422,0.855704698,-0.077757685,4.903846154,0.661237785,4.811320755,0.655844156,6.219512195,0.722972973,10.2,0.821428571,6.891891892,0.746575342,6.538461538,0.734693878,0.194756554,-0.673981191,0.114035088,-0.795275591,0.174496644,-0.702857143,0.203921569,-0.661237785,0.981132075,-0.00952381,1.268292683,0.11827957,2.08,0.350649351,1.405405405,0.168539326,1.333333333,0.142857143,0.198501873,-0.66875,0.11622807,-0.791748527,0.177852349,-0.698005698,0.207843137,-0.655844156,1.019230769,0.00952381,1.292682927,0.127659574,2.12,0.358974359,1.432432432,0.177777778,1.358974359,0.152173913,0.153558052,-0.733766234,0.089912281,-0.83501006,0.137583893,-0.758112094,0.160784314,-0.722972973,0.788461538,-0.11827957,0.773584906,-0.127659574,1.64,0.242424242,1.108108108,0.051282051,1.051282051,0.025,0.093632959,-0.828767123,0.054824561,-0.896049896,0.083892617,-0.845201238,0.098039216,-0.821428571,0.480769231,-0.350649351,0.471698113,-0.358974359,0.609756098,-0.242424242,0.675675676,-0.193548387,0.641025641,-0.21875,0.138576779,-0.756578947,0.081140351,-0.84989858,0.124161074,-0.779104478,0.145098039,-0.746575342,0.711538462,-0.168539326,0.698113208,-0.177777778,0.902439024,-0.051282051,1.48,0.193548387,0.948717949,-0.026315789,0.146067416,-0.745098039,0.085526316,-0.842424242,0.130872483,-0.768545994,0.152941176,-0.734693878,0.75,-0.142857143,0.735849057,-0.152173913,0.951219512,-0.025,1.56,0.21875,1.054054054,0.026315789
335,307,751,879,705,371,301,431,353,337,5/27/2024,0.61,0.854379977,-0.078527607,1.065248227,0.031593407,2.02425876,0.338680927,2.495016611,0.427756654,1.742459397,0.27072758,2.127478754,0.360507246,2.228486647,0.380514706,2.241791045,0.38305709,2.446254072,0.419659735,1.170439414,0.078527607,1.246808511,0.109848485,2.369272237,0.4064,2.920265781,0.489830508,2.039443155,0.341984733,2.490084986,0.426948052,2.608308605,0.445723684,2.623880597,0.448105437,2.863192182,0.482293423,0.938748336,-0.031593407,0.802047782,-0.109848485,1.900269542,0.310408922,2.342192691,0.401590457,1.635730858,0.241197183,1.997167139,0.332703214,2.091988131,0.353166987,2.104477612,0.355769231,2.296416938,0.393280632,0.494007989,-0.338680927,0.422070535,-0.4064,0.526241135,-0.310408922,1.23255814,0.104166667,0.860788863,-0.074812968,1.050991501,0.024861878,1.100890208,0.048022599,1.107462687,0.050991501,1.208469055,0.09439528,0.400798935,-0.427756654,0.342434585,-0.489830508,0.426950355,-0.401590457,0.811320755,-0.104166667,0.69837587,-0.177595628,0.852691218,-0.079510703,0.893175074,-0.056426332,0.898507463,-0.053459119,0.980456026,-0.009868421,0.573901465,-0.27072758,0.49032992,-0.341984733,0.611347518,-0.241197183,1.161725067,0.074812968,1.431893688,0.177595628,1.220963173,0.099489796,1.278931751,0.122395833,1.286567164,0.125326371,1.403908795,0.16802168,0.470039947,-0.360507246,0.401592719,-0.426948052,0.50070922,-0.332703214,0.95148248,-0.024861878,1.172757475,0.079510703,0.819025522,-0.099489796,1.047477745,0.023188406,1.053731343,0.026162791,1.149837134,0.06969697,0.44873502,-0.380514706,0.383390216,-0.445723684,0.478014184,-0.353166987,0.908355795,-0.048022599,1.119601329,0.056426332,0.781902552,-0.122395833,0.954674221,-0.023188406,1.005970149,0.00297619,1.09771987,0.046583851,0.446071904,-0.38305709,0.381114903,-0.448105437,0.475177305,-0.355769231,0.90296496,-0.050991501,1.112956811,0.053459119,0.777262181,-0.125326371,0.949008499,-0.026162791,0.994065282,-0.00297619,1.091205212,0.043613707,0.408788282,-0.419659735,0.349260523,-0.482293423,0.435460993,-0.393280632,0.827493261,-0.09439528,1.019933555,0.009868421,0.712296984,-0.16802168,0.869688385,-0.06969697,0.910979228,-0.046583851,0.91641791,-0.043613707
24,19,77,69,69,53,27,32,37,13,11/25/2025,97.58,1.115942029,0.054794521,1.115942029,0.054794521,1.452830189,0.184615385,2.851851852,0.480769231,2.40625,0.412844037,2.081081081,0.350877193,5.923076923,0.711111111,3.208333333,0.524752475,4.052631579,0.604166667,0.896103896,-0.054794521,1.0,0.0,1.301886792,0.131147541,2.555555556,0.4375,2.15625,0.366336634,1.864864865,0.301886792,5.307692308,0.682926829,2.875,0.483870968,3.631578947,0.568181818,0.896103896,-0.054794521,1.0,0.0,1.301886792,0.131147541,2.555555556,0.4375,2.15625,0.366336634,1.864864865,0.301886792,5.307692308,0.682926829,2.875,0.483870968,3.631578947,0.568181818,0.688311688,-0.184615385,0.768115942,-0.131147541,0.768115942,-0.131147541,1.962962963,0.325,1.65625,0.247058824,1.432432432,0.177777778,4.076923077,0.606060606,2.208333333,0.376623377,2.789473684,0.472222222,0.350649351,-0.480769231,0.391304348,-0.4375,0.391304348,-0.4375,0.509433962,-0.325,0.84375,-0.084745763,0.72972973,-0.15625,2.076923077,0.35,1.125,0.058823529,1.421052632,0.173913043,0.415584416,-0.412844037,0.463768116,-0.366336634,0.463768116,-0.366336634,0.603773585,-0.247058824,1.185185185,0.084745763,0.864864865,-0.072463768,2.461538462,0.422222222,1.333333333,0.142857143,1.684210526,0.254901961,0.480519481,-0.350877193,0.536231884,-0.301886792,0.536231884,-0.301886792,0.698113208,-0.177777778,1.37037037,0.15625,1.15625,0.072463768,2.846153846,0.48,1.541666667,0.213114754,1.947368421,0.321428571,0.168831169,-0.711111111,0.188405797,-0.682926829,0.188405797,-0.682926829,0.245283019,-0.606060606,0.481481481,-0.35,0.40625,-0.422222222,0.351351351,-0.48,0.541666667,-0.297297297,0.684210526,-0.1875,0.311688312,-0.524752475,0.347826087,-0.483870968,0.347826087,-0.483870968,0.452830189,-0.376623377,0.888888889,-0.058823529,0.75,-0.142857143,0.648648649,-0.213114754,1.846153846,0.297297297,1.263157895,0.11627907,0.246753247,-0.604166667,0.275362319,-0.568181818,0.275362319,-0.568181818,0.358490566,-0.472222222,0.703703704,-0.173913043,0.59375,-0.254901961,0.513513514,-0.321428571,1.461538462,0.1875,0.791666667,-0.11627907
545,490,631,706,612,653,536,510,476,490,8/20/2025,27.22,0.893767705,-0.056095737,1.031045752,0.015285599,0.966309342,-0.017133956,1.177238806,0.081405313,1.237254902,0.106047327,1.325630252,0.140018067,1.287755102,0.125780553,1.157798165,0.073129252,1.287755102,0.125780553,1.118858954,0.056095737,1.153594771,0.071320182,1.081163859,0.038999264,1.317164179,0.136876006,1.384313725,0.161184211,1.483193277,0.194585448,1.440816327,0.180602007,1.295412844,0.128697042,1.440816327,0.180602007,0.969889065,-0.015285599,0.866855524,-0.071320182,0.937212864,-0.032411067,1.141791045,0.066202091,1.2,0.090909091,1.285714286,0.125,1.248979592,0.110707804,1.12293578,0.057908384,1.248979592,0.110707804,1.034865293,0.017133956,0.924929178,-0.038999264,1.066993464,0.032411067,1.218283582,0.098402019,1.280392157,0.122957868,1.371848739,0.156775908,1.332653061,0.142607174,1.198165138,0.09015025,1.332653061,0.142607174,0.849445325,-0.081405313,0.759206799,-0.136876006,0.875816993,-0.066202091,0.820826953,-0.098402019,1.050980392,0.024856597,1.12605042,0.059288538,1.093877551,0.044834308,0.983486239,-0.008325624,1.093877551,0.044834308,0.808240887,-0.106047327,0.722379603,-0.161184211,0.833333333,-0.090909091,0.78101072,-0.122957868,0.951492537,-0.024856597,1.071428571,0.034482759,1.040816327,0.02,0.935779817,-0.033175355,1.040816327,0.02,0.754358162,-0.140018067,0.674220963,-0.194585448,0.777777778,-0.125,0.728943338,-0.156775908,0.888059701,-0.059288538,0.933333333,-0.034482759,0.971428571,-0.014492754,0.873394495,-0.067580803,0.971428571,-0.014492754,0.776545166,-0.125780553,0.694050992,-0.180602007,0.800653595,-0.110707804,0.750382848,-0.142607174,0.914179104,-0.044834308,0.960784314,-0.02,1.029411765,0.014492754,0.899082569,-0.053140097,1.0,0.0,0.863708399,-0.073129252,0.771954674,-0.128697042,0.890522876,-0.057908384,0.834609495,-0.09015025,1.016791045,0.008325624,1.068627451,0.033175355,1.144957983,0.067580803,1.112244898,0.053140097,1.112244898,0.053140097,0.776545166,-0.125780553,0.694050992,-0.180602007,0.800653595,-0.110707804,0.750382848,-0.142607174,0.914179104,-0.044834308,0.960784314,-0.02,1.029411765,0.014492754,1.0,0.0,0.899082569,-0.053140097
587,564,1115,1307,808,754,639,687,602,626,4/17/2024,4.23,0.853098699,-0.079273328,1.379950495,0.159646386,1.478779841,0.193151418,1.744913928,0.271379704,1.622998544,0.237513873,1.852159468,0.298776937,1.78115016,0.280873061,1.899488927,0.310223267,1.976950355,0.328171531,1.172197309,0.079273328,1.617574257,0.235933806,1.733421751,0.268316351,2.045383412,0.343268243,1.902474527,0.310932798,2.171096346,0.3693033,2.087859425,0.352302121,2.226575809,0.380147835,2.317375887,0.397113843,0.724663677,-0.159646386,0.61820964,-0.235933806,1.071618037,0.034571063,1.264475743,0.116793366,1.176128093,0.080936455,1.342192691,0.146099291,1.290734824,0.126917713,1.37649063,0.158422939,1.432624113,0.177842566,0.676233184,-0.193151418,0.57689365,-0.268316351,0.933168317,-0.034571063,1.179968701,0.082555635,1.097525473,0.046495489,1.252491694,0.112094395,1.204472843,0.092753623,1.284497445,0.12453393,1.336879433,0.144157815,0.57309417,-0.271379704,0.488905891,-0.343268243,0.790841584,-0.116793366,0.847480106,-0.082555635,0.930131004,-0.036199095,1.061461794,0.029814666,1.020766773,0.01027668,1.088586031,0.042414356,1.132978723,0.06234414,0.616143498,-0.237513873,0.525631217,-0.310932798,0.850247525,-0.080936455,0.911140584,-0.046495489,1.075117371,0.036199095,1.141196013,0.065942591,1.097444089,0.046458492,1.170357751,0.078492936,1.218085106,0.098321343,0.539910314,-0.298776937,0.460596787,-0.3693033,0.745049505,-0.146099291,0.798408488,-0.112094395,0.942097027,-0.029814666,0.876273654,-0.065942591,0.961661342,-0.019543974,1.025553663,0.012615643,1.067375887,0.032590051,0.561434978,-0.280873061,0.478959449,-0.352302121,0.774752475,-0.126917713,0.830238727,-0.092753623,0.979655712,-0.01027668,0.911208151,-0.046458492,1.03986711,0.019543974,1.066439523,0.03215169,1.109929078,0.05210084,0.526457399,-0.310223267,0.449120122,-0.380147835,0.726485149,-0.158422939,0.778514589,-0.12453393,0.918622848,-0.042414356,0.854439592,-0.078492936,0.975083056,-0.012615643,0.937699681,-0.03215169,1.040780142,0.019982624,0.505829596,-0.328171531,0.431522571,-0.397113843,0.698019802,-0.177842566,0.74801061,-0.144157815,0.882629108,-0.06234414,0.820960699,-0.098321343,0.936877076,-0.032590051,0.900958466,-0.05210084,0.960817717,-0.019982624
80,59,130,170,157,163,74,145,66,81,11/8/2025,63.19,0.764705882,-0.133333333,0.828025478,-0.094076655,0.797546012,-0.112627986,1.756756757,0.274509804,0.896551724,-0.054545455,1.96969697,0.326530612,1.604938272,0.232227488,1.625,0.238095238,2.203389831,0.375661376,1.307692308,0.133333333,1.082802548,0.039755352,1.042944785,0.021021021,2.297297297,0.393442623,1.172413793,0.079365079,2.575757576,0.440677966,2.098765432,0.354581673,2.125,0.36,2.881355932,0.484716157,1.207692308,0.094076655,0.923529412,-0.039755352,0.963190184,-0.01875,2.121621622,0.359307359,1.082758621,0.039735099,2.378787879,0.408071749,1.938271605,0.319327731,1.9625,0.324894515,2.661016949,0.453703704,1.253846154,0.112627986,0.958823529,-0.021021021,1.038216561,0.01875,2.202702703,0.375527426,1.124137931,0.058441558,2.46969697,0.423580786,2.012345679,0.336065574,2.0375,0.341563786,2.762711864,0.468468468,0.569230769,-0.274509804,0.435294118,-0.393442623,0.47133758,-0.359307359,0.45398773,-0.375527426,0.510344828,-0.324200913,1.121212121,0.057142857,0.913580247,-0.04516129,0.925,-0.038961039,1.254237288,0.112781955,1.115384615,0.054545455,0.852941176,-0.079365079,0.923566879,-0.039735099,0.889570552,-0.058441558,1.959459459,0.324200913,2.196969697,0.374407583,1.790123457,0.283185841,1.8125,0.288888889,2.457627119,0.421568627,0.507692308,-0.326530612,0.388235294,-0.440677966,0.420382166,-0.408071749,0.404907975,-0.423580786,0.891891892,-0.057142857,0.455172414,-0.374407583,0.814814815,-0.102040816,0.825,-0.095890411,1.118644068,0.056,0.623076923,-0.232227488,0.476470588,-0.354581673,0.515923567,-0.319327731,0.496932515,-0.336065574,1.094594595,0.04516129,0.55862069,-0.283185841,1.227272727,0.102040816,1.0125,0.00621118,1.372881356,0.157142857,0.615384615,-0.238095238,0.470588235,-0.36,0.50955414,-0.324894515,0.490797546,-0.341563786,1.081081081,0.038961039,0.551724138,-0.288888889,1.212121212,0.095890411,0.987654321,-0.00621118,1.355932203,0.151079137,0.453846154,-0.375661376,0.347058824,-0.484716157,0.375796178,-0.453703704,0.36196319,-0.468468468,0.797297297,-0.112781955,0.406896552,-0.421568627,0.893939394,-0.056,0.728395062,-0.157142857,0.7375,-0.151079137
130,136,289,388,244,242,160,164,130,159,10/25/2023,24.58,0.744845361,-0.146233383,1.18442623,0.084427767,1.194214876,0.088512241,1.80625,0.287305122,1.762195122,0.27593819,2.223076923,0.37947494,1.817610063,0.290178571,2.223076923,0.37947494,2.125,0.36,1.342560554,0.146233383,1.590163934,0.227848101,1.603305785,0.231746032,2.425,0.416058394,2.365853659,0.405797101,2.984615385,0.498069498,2.440251572,0.418647166,2.984615385,0.498069498,2.852941176,0.480916031,0.844290657,-0.084427767,0.628865979,-0.227848101,1.008264463,0.004115226,1.525,0.207920792,1.487804878,0.196078431,1.876923077,0.304812834,1.534591195,0.210918114,1.876923077,0.304812834,1.794117647,0.284210526,0.837370242,-0.088512241,0.62371134,-0.231746032,0.991803279,-0.004115226,1.5125,0.2039801,1.475609756,0.192118227,1.861538462,0.301075269,1.522012579,0.206982544,1.861538462,0.301075269,1.779411765,0.28042328,0.553633218,-0.287305122,0.412371134,-0.416058394,0.655737705,-0.207920792,0.661157025,-0.2039801,0.975609756,-0.012345679,1.230769231,0.103448276,1.006289308,0.003134796,1.230769231,0.103448276,1.176470588,0.081081081,0.567474048,-0.27593819,0.422680412,-0.405797101,0.672131148,-0.196078431,0.67768595,-0.192118227,1.025,0.012345679,1.261538462,0.115646259,1.031446541,0.015479876,1.261538462,0.115646259,1.205882353,0.093333333,0.44982699,-0.37947494,0.335051546,-0.498069498,0.532786885,-0.304812834,0.537190083,-0.301075269,0.8125,-0.103448276,0.792682927,-0.115646259,0.817610063,-0.100346021,1.0,0.0,0.955882353,-0.022556391,0.55017301,-0.290178571,0.409793814,-0.418647166,0.651639344,-0.210918114,0.657024793,-0.206982544,0.99375,-0.003134796,0.969512195,-0.015479876,1.223076923,0.100346021,1.223076923,0.100346021,1.169117647,0.077966102,0.44982699,-0.37947494,0.335051546,-0.498069498,0.532786885,-0.304812834,0.537190083,-0.301075269,0.8125,-0.103448276,0.792682927,-0.115646259,1.0,0.0,0.817610063,-0.100346021,0.955882353,-0.022556391,0.470588235,-0.36,0.350515464,-0.480916031,0.557377049,-0.284210526,0.561983471,-0.28042328,0.85,-0.081081081,0.829268293,-0.093333333,1.046153846,0.022556391,0.855345912,-0.077966102,1.046153846,0.022556391
138,112,457,416,363,386,367,290,319,300,3/18/2025,125.43,1.098557692,0.04696449,1.258953168,0.114634146,1.183937824,0.084223013,1.245231608,0.109223301,1.575862069,0.22356091,1.432601881,0.177835052,1.523333333,0.207397622,3.311594203,0.536134454,4.080357143,0.606326889,0.910284464,-0.04696449,1.14600551,0.068035944,1.077720207,0.037406484,1.133514986,0.062579821,1.434482759,0.178470255,1.304075235,0.131972789,1.386666667,0.162011173,3.014492754,0.501805054,3.714285714,0.575757576,0.794310722,-0.114634146,0.872596154,-0.068035944,0.940414508,-0.03070761,0.989100817,-0.005479452,1.251724138,0.11179173,1.137931034,0.064516129,1.21,0.095022624,2.630434783,0.449101796,3.241071429,0.528421053,0.84463895,-0.084223013,0.927884615,-0.037406484,1.063360882,0.03070761,1.051771117,0.025232404,1.331034483,0.142011834,1.210031348,0.095035461,1.286666667,0.125364431,2.797101449,0.473282443,3.446428571,0.550200803,0.803063457,-0.109223301,0.882211538,-0.062579821,1.011019284,0.005479452,0.950777202,-0.025232404,1.265517241,0.117199391,1.150470219,0.069970845,1.223333333,0.100449775,2.65942029,0.453465347,3.276785714,0.532359081,0.634573304,-0.22356091,0.697115385,-0.178470255,0.798898072,-0.11179173,0.751295337,-0.142011834,0.790190736,-0.117199391,0.909090909,-0.047619048,0.966666667,-0.016949153,2.101449275,0.355140187,2.589285714,0.44278607,0.698030635,-0.177835052,0.766826923,-0.131972789,0.878787879,-0.064516129,0.82642487,-0.095035461,0.869209809,-0.069970845,1.1,0.047619048,1.063333333,0.030694669,2.311594203,0.396061269,2.848214286,0.480278422,0.656455142,-0.207397622,0.721153846,-0.162011173,0.826446281,-0.095022624,0.777202073,-0.125364431,0.817438692,-0.100449775,1.034482759,0.016949153,0.940438871,-0.030694669,2.173913043,0.369863014,2.678571429,0.45631068,0.301969365,-0.536134454,0.331730769,-0.501805054,0.380165289,-0.449101796,0.357512953,-0.473282443,0.376021798,-0.453465347,0.475862069,-0.355140187,0.432601881,-0.396061269,0.46,-0.369863014,1.232142857,0.104,0.245076586,-0.606326889,0.269230769,-0.575757576,0.308539945,-0.528421053,0.29015544,-0.550200803,0.305177112,-0.532359081,0.386206897,-0.44278607,0.351097179,-0.480278422,0.373333333,-0.45631068,0.811594203,-0.104
44,37,87,61,79,63,30,23,12,24,12/23/2024,171.91,1.426229508,0.175675676,1.101265823,0.048192771,1.380952381,0.16,2.9,0.487179487,3.782608696,0.581818182,7.25,0.757575758,3.625,0.567567568,1.977272727,0.328244275,2.351351351,0.403225806,0.701149425,-0.175675676,0.772151899,-0.128571429,0.968253968,-0.016129032,2.033333333,0.340659341,2.652173913,0.452380952,5.083333333,0.671232877,2.541666667,0.435294118,1.386363636,0.161904762,1.648648649,0.244897959,0.908045977,-0.048192771,1.295081967,0.128571429,1.253968254,0.112676056,2.633333333,0.449541284,3.434782609,0.549019608,6.583333333,0.736263736,3.291666667,0.533980583,1.795454545,0.284552846,2.135135135,0.362068966,0.724137931,-0.16,1.032786885,0.016129032,0.797468354,-0.112676056,2.1,0.35483871,2.739130435,0.465116279,5.25,0.68,2.625,0.448275862,1.431818182,0.177570093,1.702702703,0.26,0.344827586,-0.487179487,0.491803279,-0.340659341,0.379746835,-0.449541284,0.476190476,-0.35483871,1.304347826,0.132075472,2.5,0.428571429,1.25,0.111111111,0.681818182,-0.189189189,0.810810811,-0.104477612,0.264367816,-0.581818182,0.37704918,-0.452380952,0.291139241,-0.549019608,0.365079365,-0.465116279,0.766666667,-0.132075472,1.916666667,0.314285714,0.958333333,-0.021276596,0.522727273,-0.313432836,0.621621622,-0.233333333,0.137931034,-0.757575758,0.196721311,-0.671232877,0.151898734,-0.736263736,0.19047619,-0.68,0.4,-0.428571429,0.52173913,-0.314285714,0.5,-0.333333333,0.272727273,-0.571428571,0.324324324,-0.510204082,0.275862069,-0.567567568,0.393442623,-0.435294118,0.303797468,-0.533980583,0.380952381,-0.448275862,0.8,-0.111111111,1.043478261,0.021276596,2.0,0.333333333,0.545454545,-0.294117647,0.648648649,-0.213114754,0.505747126,-0.328244275,0.721311475,-0.161904762,0.556962025,-0.284552846,0.698412698,-0.177570093,1.466666667,0.189189189,1.913043478,0.313432836,3.666666667,0.571428571,1.833333333,0.294117647,1.189189189,0.086419753,0.425287356,-0.403225806,0.606557377,-0.244897959,0.46835443,-0.362068966,0.587301587,-0.26,1.233333333,0.104477612,1.608695652,0.233333333,3.083333333,0.510204082,1.541666667,0.213114754,0.840909091,-0.086419753
787,687,837,916,906,889,813,794,769,790,7/26/2025,53.71,0.913755459,-0.045065602,0.92384106,-0.039586919,0.941507312,-0.030127462,1.029520295,0.014545455,1.054156171,0.026364194,1.088426528,0.04234122,1.059493671,0.028887523,1.063532402,0.030788177,1.218340611,0.098425197,1.094384707,0.045065602,1.011037528,0.005488474,1.030371204,0.014958449,1.126691267,0.059572007,1.153652393,0.071345029,1.191157347,0.087240356,1.159493671,0.073856975,1.163913596,0.075748679,1.333333333,0.142857143,1.082437276,0.039586919,0.989082969,-0.005488474,1.01912261,0.009470752,1.114391144,0.054101222,1.141057935,0.065882353,1.178153446,0.081791045,1.146835443,0.068396226,1.151207116,0.070289427,1.318777293,0.13747646,1.062126643,0.030127462,0.970524017,-0.014958449,0.981236203,-0.009470752,1.093480935,0.044653349,1.119647355,0.056446821,1.156046814,0.072376357,1.125316456,0.058963669,1.129606099,0.060859189,1.294032023,0.128172589,0.971326165,-0.014545455,0.887554585,-0.059572007,0.897350993,-0.054101222,0.914510686,-0.044653349,1.023929471,0.011823273,1.057217165,0.027812895,1.029113924,0.014348097,1.033036849,0.01625,1.183406114,0.084,0.948626045,-0.026364194,0.866812227,-0.071345029,0.876379691,-0.065882353,0.893138358,-0.056446821,0.976629766,-0.011823273,1.032509753,0.015994882,1.005063291,0.002525253,1.008894536,0.004427577,1.155749636,0.072248481,0.918757467,-0.04234122,0.839519651,-0.087240356,0.848785872,-0.081791045,0.865016873,-0.072376357,0.945879459,-0.027812895,0.968513854,-0.015994882,0.973417722,-0.013470173,0.977128335,-0.011568123,1.119359534,0.056318681,0.943847073,-0.028887523,0.862445415,-0.073856975,0.87196468,-0.068396226,0.88863892,-0.058963669,0.971709717,-0.014348097,0.994962217,-0.002525253,1.027308192,0.013470173,1.003811944,0.001902346,1.14992722,0.069735951,0.940262843,-0.030788177,0.859170306,-0.075748679,0.868653422,-0.070289427,0.885264342,-0.060859189,0.96801968,-0.01625,0.991183879,-0.004427577,1.023407022,0.011568123,0.996202532,-0.001902346,1.145560408,0.067842605,0.82078853,-0.098425197,0.75,-0.142857143,0.758278146,-0.13747646,0.772778403,-0.128172589,0.84501845,-0.084,0.865239295,-0.072248481,0.89336801,-0.056318681,0.869620253,-0.069735951,0.872935197,-0.067842605
