B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Actual,RATIO_B2_B3,ND_B2_B3,RATIO_B2_B4,ND_B2_B4,RATIO_B2_B5,ND_B2_B5,RATIO_B2_B6,ND_B2_B6,RATIO_B2_B7,ND_B2_B7,RATIO_B2_B8,ND_B2_B8,RATIO_B2_B8A,ND_B2_B8A,RATIO_B2_B11,ND_B2_B11,RATIO_B2_B12,ND_B2_B12,RATIO_B3_B2,ND_B3_B2,RATIO_B3_B4,ND_B3_B4,RATIO_B3_B5,ND_B3_B5,RATIO_B3_B6,ND_B3_B6,RATIO_B3_B7,ND_B3_B7,RATIO_B3_B8,ND_B3_B8,RATIO_B3_B8A,ND_B3_B8A,RATIO_B3_B11,ND_B3_B11,RATIO_B3_B12,ND_B3_B12,RATIO_B4_B2,ND_B4_B2,RATIO_B4_B3,ND_B4_B3,RATIO_B4_B5,ND_B4_B5,RATIO_B4_B6,ND_B4_B6,RATIO_B4_B7,ND_B4_B7,RATIO_B4_B8,ND_B4_B8,RATIO_B4_B8A,ND_B4_B8A,RATIO_B4_B11,ND_B4_B11,RATIO_B4_B12,ND_B4_B12,RATIO_B5_B2,ND_B5_B2,RATIO_B5_B3,ND_B5_B3,RATIO_B5_B4,ND_B5_B4,RATIO_B5_B6,ND_B5_B6,RATIO_B5_B7,ND_B5_B7,RATIO_B5_B8,ND_B5_B8,RATIO_B5_B8A,ND_B5_B8A,RATIO_B5_B11,ND_B5_B11,RATIO_B5_B12,ND_B5_B12,RATIO_B6_B2,ND_B6_B2,RATIO_B6_B3,ND_B6_B3,RATIO_B6_B4,ND_B6_B4,RATIO_B6_B5,ND_B6_B5,RATIO_B6_B7,ND_B6_B7,RATIO_B6_B8,ND_B6_B8,RATIO_B6_B8A,ND_B6_B8A,RATIO_B6_B11,ND_B6_B11,RATIO_B6_B12,ND_B6_B12,RATIO_B7_B2,ND_B7_B2,RATIO_B7_B3,ND_B7_B3,RATIO_B7_B4,ND_B7_B4,RATIO_B7_B5,ND_B7_B5,RATIO_B7_B6,ND_B7_B6,RATIO_B7_B8,ND_B7_B8,RATIO_B7_B8A,ND_B7_B8A,RATIO_B7_B11,ND_B7_B11,RATIO_B7_B12,ND_B7_B12,RATIO_B8_B2,ND_B8_B2,RATIO_B8_B3,ND_B8_B3,RATIO_B8_B4,ND_B8_B4,RATIO_B8_B5,ND_B8_B5,RATIO_B8_B6,ND_B8_B6,RATIO_B8_B7,ND_B8_B7,RATIO_B8_B8A,ND_B8_B8A,RATIO_B8_B11,ND_B8_B11,RATIO_B8_B12,ND_B8_B12,RATIO_B8A_B2,ND_B8A_B2,RATIO_B8A_B3,ND_B8A_B3,RATIO_B8A_B4,ND_B8A_B4,RATIO_B8A_B5,ND_B8A_B5,RATIO_B8A_B6,ND_B8A_B6,RATIO_B8A_B7,ND_B8A_B7,RATIO_B8A_B8,ND_B8A_B8,RATIO_B8A_B11,ND_B8A_B11,RATIO_B8A_B12,ND_B8A_B12,RATIO_B11_B2,ND_B11_B2,RATIO_B11_B3,ND_B11_B3,RATIO_B11_B4,ND_B11_B4,RATIO_B11_B5,ND_B11_B5,RATIO_B11_B6,ND_B11_B6,RATIO_B11_B7,ND_B11_B7,RATIO_B11_B8,ND_B11_B8,RATIO_B11_B8A,ND_B11_B8A,RATIO_B11_B12,ND_B11_B12,RATIO_B12_B2,ND_B12_B2,RATIO_B12_B3,ND_B12_B3,RATIO_B12_B4,ND_B12_B4,RATIO_B12_B5,ND_B12_B5,RATIO_B12_B6,ND_B12_B6,RATIO_B12_B7,ND_B12_B7,RATIO_B12_B8,ND_B12_B8,RATIO_B12_B8A,ND_B12_B8A,RATIO_B12_B11,ND_B12_B11
860,750,982,1104,1045,1017,834,819,826,822,2.48,0.889492754,-0.058485139,0.939712919,-0.031080414,0.965585054,-0.017508754,1.177458034,0.081497797,1.199023199,0.090505275,1.188861985,0.086283186,1.194647202,0.088691796,1.141860465,0.066232356,1.309333333,0.133949192,1.124236253,0.058485139,1.05645933,0.02745463,1.085545723,0.041018388,1.323741007,0.139318885,1.347985348,0.148205928,1.336561743,0.144041451,1.343065693,0.146417445,1.28372093,0.124236253,1.472,0.190938511,1.064154786,0.031080414,0.946557971,-0.02745463,1.027531957,0.013579049,1.252997602,0.112293773,1.275946276,0.121244635,1.265133172,0.117049706,1.271289538,0.119442957,1.215116279,0.097112861,1.393333333,0.164345404,1.035641548,0.017508754,0.921195652,-0.041018388,0.973205742,-0.013579049,1.21942446,0.098865478,1.241758242,0.107843137,1.231234867,0.103635377,1.237226277,0.106035889,1.18255814,0.083644113,1.356,0.151103565,0.849287169,-0.081497797,0.755434783,-0.139318885,0.798086124,-0.112293773,0.820058997,-0.098865478,1.018315018,0.00907441,1.00968523,0.004819277,1.01459854,0.007246377,0.969767442,-0.015348288,1.112,0.053030303,0.83401222,-0.090505275,0.741847826,-0.148205928,0.783732057,-0.121244635,0.805309735,-0.107843137,0.982014388,-0.00907441,0.991525424,-0.004255319,0.996350365,-0.001828154,0.952325581,-0.024419297,1.092,0.043977055,0.84114053,-0.086283186,0.748188406,-0.144041451,0.790430622,-0.117049706,0.812192724,-0.103635377,0.990407674,-0.004819277,1.008547009,0.004255319,1.00486618,0.002427184,0.960465116,-0.020166074,1.101333333,0.04822335,0.83706721,-0.088691796,0.744565217,-0.146417445,0.786602871,-0.119442957,0.808259587,-0.106035889,0.985611511,-0.007246377,1.003663004,0.001828154,0.995157385,-0.002427184,0.955813953,-0.022592152,1.096,0.045801527,0.875763747,-0.066232356,0.778985507,-0.124236253,0.822966507,-0.097112861,0.845624385,-0.083644113,1.03117506,0.015348288,1.05006105,0.024419297,1.041162228,0.020166074,1.04622871,0.022592152,1.146666667,0.068322981,0.763747454,-0.133949192,0.679347826,-0.190938511,0.717703349,-0.164345404,0.737463127,-0.151103565,0.899280576,-0.053030303,0.915750916,-0.043977055,0.907990315,-0.04822335,0.912408759,-0.045801527,0.872093023,-0.068322981
873,768,1001,994,1002,1002,900,802,837,831,3.31,1.007042254,0.003508772,0.999001996,-0.000499251,0.999001996,-0.000499251,1.112222222,0.053129932,1.248129676,0.110371603,1.195937873,0.089227421,1.204572804,0.09279476,1.146620848,0.068303095,1.303385417,0.131712832,0.993006993,-0.003508772,0.992015968,-0.004008016,0.992015968,-0.004008016,1.104444444,0.049630412,1.239401496,0.106904232,1.187574671,0.085745494,1.196149218,0.089315068,1.13860252,0.064809855,1.294270833,0.128263337,1.000999001,0.000499251,1.00804829,0.004008016,1,0,1.113333333,0.05362776,1.249376559,0.110864745,1.197132616,0.089722675,1.205776173,0.093289689,1.147766323,0.0688,1.3046875,0.13220339,1.000999001,0.000499251,1.00804829,0.004008016,1,0,1.113333333,0.05362776,1.249376559,0.110864745,1.197132616,0.089722675,1.205776173,0.093289689,1.147766323,0.0688,1.3046875,0.13220339,0.899100899,-0.053129932,0.905432596,-0.049630412,0.898203593,-0.05362776,0.898203593,-0.05362776,1.122194514,0.057579318,1.075268817,0.03626943,1.083032491,0.039861352,1.030927835,0.015228426,1.171875,0.079136691,0.801198801,-0.110371603,0.806841046,-0.106904232,0.800399202,-0.110864745,0.800399202,-0.110864745,0.891111111,-0.057579318,0.95818399,-0.021354484,0.965102286,-0.017758726,0.918671249,-0.04238806,1.044270833,0.021656051,0.836163836,-0.089227421,0.842052314,-0.085745494,0.835329341,-0.089722675,0.835329341,-0.089722675,0.93,-0.03626943,1.043640898,0.021354484,1.007220217,0.003597122,0.958762887,-0.021052632,1.08984375,0.042990654,0.83016983,-0.09279476,0.836016097,-0.089315068,0.829341317,-0.093289689,0.829341317,-0.093289689,0.923333333,-0.039861352,1.036159601,0.017758726,0.992831541,-0.003597122,0.951890034,-0.024647887,1.08203125,0.039399625,0.872127872,-0.068303095,0.878269618,-0.064809855,0.871257485,-0.0688,0.871257485,-0.0688,0.97,-0.015228426,1.088528678,0.04238806,1.043010753,0.021052632,1.050541516,0.024647887,1.13671875,0.063985375,0.767232767,-0.131712832,0.772635815,-0.128263337,0.766467066,-0.13220339,0.766467066,-0.13220339,0.853333333,-0.079136691,0.957605985,-0.021656051,0.917562724,-0.042990654,0.924187726,-0.039399625,0.879725086,-0.063985375
674,600,628,697,758,849,741,705,577,684,11.23,0.901004304,-0.052075472,0.828496042,-0.093795094,0.739693757,-0.149627624,0.847503374,-0.082542001,0.890780142,-0.057764441,1.088388215,0.042323651,0.918128655,-0.042682927,0.931750742,-0.035330261,1.046666667,0.022801303,1.109872611,0.052075472,0.919525066,-0.041924399,0.820965842,-0.098318241,0.940620783,-0.030598053,0.988652482,-0.005706134,1.20797227,0.094191523,1.019005848,0.009413469,1.034124629,0.016776076,1.161666667,0.074787972,1.207006369,0.093795094,1.087517934,0.041924399,0.892815077,-0.056627256,1.02294197,0.011340894,1.075177305,0.036226931,1.313691508,0.135580524,1.108187135,0.051317614,1.12462908,0.058659218,1.263333333,0.11634757,1.351910828,0.149627624,1.218077475,0.098318241,1.12005277,0.056627256,1.145748988,0.067924528,1.204255319,0.092664093,1.471403813,0.190743338,1.24122807,0.107632094,1.259643917,0.114904793,1.415,0.17184265,1.179936306,0.082542001,1.06312769,0.030598053,0.977572559,-0.011340894,0.872791519,-0.067924528,1.05106383,0.024896266,1.284228769,0.124430956,1.083333333,0.04,1.099406528,0.047349823,1.235,0.105145414,1.122611465,0.057764441,1.011477762,0.005706134,0.930079156,-0.036226931,0.830388693,-0.092664093,0.951417004,-0.024896266,1.221837088,0.099843994,1.030701754,0.01511879,1.045994065,0.022480058,1.175,0.08045977,0.918789809,-0.042323651,0.827833572,-0.094191523,0.76121372,-0.135580524,0.679623086,-0.190743338,0.778677463,-0.124430956,0.818439716,-0.099843994,0.843567251,-0.084853291,0.856083086,-0.07753797,0.961666667,-0.019541206,1.089171975,0.042682927,0.981348637,-0.009413469,0.90237467,-0.051317614,0.80565371,-0.107632094,0.923076923,-0.04,0.970212766,-0.01511879,1.185441941,0.084853291,1.014836795,0.00736377,1.14,0.065420561,1.073248408,0.035330261,0.967001435,-0.016776076,0.889182058,-0.058659218,0.793875147,-0.114904793,0.909581646,-0.047349823,0.956028369,-0.022480058,1.168110919,0.07753797,0.985380117,-0.00736377,1.123333333,0.058084772,0.955414013,-0.022801303,0.860832138,-0.074787972,0.791556728,-0.11634757,0.706713781,-0.17184265,0.809716599,-0.105145414,0.85106383,-0.08045977,1.039861352,0.019541206,0.877192982,-0.065420561,0.890207715,-0.058084772
57,67,7,47,69,99,16,34,31,18,5.09,0.14893617,-0.740740741,0.101449275,-0.815789474,0.070707071,-0.867924528,0.4375,-0.391304348,0.205882353,-0.658536585,0.225806452,-0.631578947,0.388888889,-0.44,0.122807018,-0.78125,0.104477612,-0.810810811,6.714285714,0.740740741,0.68115942,-0.189655172,0.474747475,-0.356164384,2.9375,0.492063492,1.382352941,0.160493827,1.516129032,0.205128205,2.611111111,0.446153846,0.824561404,-0.096153846,0.701492537,-0.175438596,9.857142857,0.815789474,1.468085106,0.189655172,0.696969697,-0.178571429,4.3125,0.623529412,2.029411765,0.339805825,2.225806452,0.38,3.833333333,0.586206897,1.210526316,0.095238095,1.029850746,0.014705882,14.14285714,0.867924528,2.106382979,0.356164384,1.434782609,0.178571429,6.1875,0.72173913,2.911764706,0.488721805,3.193548387,0.523076923,5.5,0.692307692,1.736842105,0.269230769,1.47761194,0.192771084,2.285714286,0.391304348,0.340425532,-0.492063492,0.231884058,-0.623529412,0.161616162,-0.72173913,0.470588235,-0.36,0.516129032,-0.319148936,0.888888889,-0.058823529,0.280701754,-0.561643836,0.23880597,-0.614457831,4.857142857,0.658536585,0.723404255,-0.160493827,0.492753623,-0.339805825,0.343434343,-0.488721805,2.125,0.36,1.096774194,0.046153846,1.888888889,0.307692308,0.596491228,-0.252747253,0.507462687,-0.326732673,4.428571429,0.631578947,0.659574468,-0.205128205,0.449275362,-0.38,0.313131313,-0.523076923,1.9375,0.319148936,0.911764706,-0.046153846,1.722222222,0.265306122,0.543859649,-0.295454545,0.462686567,-0.367346939,2.571428571,0.44,0.382978723,-0.446153846,0.260869565,-0.586206897,0.181818182,-0.692307692,1.125,0.058823529,0.529411765,-0.307692308,0.580645161,-0.265306122,0.315789474,-0.52,0.268656716,-0.576470588,8.142857143,0.78125,1.212765957,0.096153846,0.826086957,-0.095238095,0.575757576,-0.269230769,3.5625,0.561643836,1.676470588,0.252747253,1.838709677,0.295454545,3.166666667,0.52,0.850746269,-0.080645161,9.571428571,0.810810811,1.425531915,0.175438596,0.971014493,-0.014705882,0.676767677,-0.192771084,4.1875,0.614457831,1.970588235,0.326732673,2.161290323,0.367346939,3.722222222,0.576470588,1.175438596,0.080645161
595,522,799,997,840,764,587,593,619,554,3.14,0.801404213,-0.110244989,0.951190476,-0.025015253,1.045811518,0.022392834,1.361158433,0.152958153,1.347386172,0.147988506,1.290791599,0.126939351,1.442238267,0.181079084,1.342857143,0.146341463,1.530651341,0.209689629,1.247809762,0.110244989,1.186904762,0.085465433,1.304973822,0.132311187,1.69846678,0.258838384,1.681281619,0.25408805,1.610662359,0.233910891,1.799638989,0.285622179,1.675630252,0.252512563,1.909961686,0.312705727,1.051314143,0.025015253,0.842527583,-0.085465433,1.09947644,0.047381546,1.431005111,0.177295025,1.416526138,0.172365666,1.357027464,0.151473612,1.516245487,0.205164993,1.411764706,0.170731707,1.609195402,0.233480176,0.956195244,-0.022392834,0.766298897,-0.132311187,0.90952381,-0.047381546,1.30153322,0.131014064,1.28836425,0.126013265,1.234248788,0.104844541,1.379061372,0.159332322,1.284033613,0.124356144,1.463601533,0.188180404,0.734668335,-0.152958153,0.588766299,-0.258838384,0.698809524,-0.177295025,0.768324607,-0.131014064,0.989881956,-0.005084746,0.948303716,-0.026533997,1.059566787,0.028921998,0.986554622,-0.00676819,1.124521073,0.058611362,0.742177722,-0.147988506,0.594784353,-0.25408805,0.705952381,-0.172365666,0.77617801,-0.126013265,1.010221465,0.005084746,0.957996769,-0.021452145,1.070397112,0.034001744,0.996638655,-0.001683502,1.136015326,0.06367713,0.774718398,-0.126939351,0.620862588,-0.233910891,0.736904762,-0.151473612,0.810209424,-0.104844541,1.05451448,0.026533997,1.043844857,0.021452145,1.11732852,0.05541347,1.040336134,0.019769357,1.185823755,0.085013146,0.693366708,-0.181079084,0.555667001,-0.285622179,0.65952381,-0.205164993,0.72513089,-0.159332322,0.943781942,-0.028921998,0.934232715,-0.034001744,0.894991922,-0.05541347,0.931092437,-0.035683203,1.061302682,0.029739777,0.744680851,-0.146341463,0.596790371,-0.252512563,0.708333333,-0.170731707,0.778795812,-0.124356144,1.01362862,0.00676819,1.003372681,0.001683502,0.961227787,-0.019769357,1.07400722,0.035683203,1.139846743,0.065353626,0.653316646,-0.209689629,0.523570712,-0.312705727,0.621428571,-0.233480176,0.683246073,-0.188180404,0.889267462,-0.058611362,0.880269815,-0.06367713,0.843295638,-0.085013146,0.942238267,-0.029739777,0.877310924,-0.065353626
1126,996,1361,1486,1365,1338,1188,1142,1141,1108,4.07,0.915881561,-0.043905866,0.997069597,-0.001467351,1.017189836,0.008521675,1.145622896,0.067869753,1.191768827,0.087495006,1.192813322,0.087929656,1.22833935,0.102470636,1.208703375,0.094491355,1.366465863,0.15485787,1.091844232,0.043905866,1.088644689,0.042441249,1.110612855,0.052407932,1.250841751,0.11144353,1.301225919,0.130898021,1.302366345,0.131328512,1.341155235,0.145720894,1.319715808,0.137825421,1.491967871,0.197421434,1.002939015,0.001467351,0.918573351,-0.042441249,1.020179372,0.009988901,1.148989899,0.0693302,1.195271454,0.088950937,1.196319018,0.089385475,1.231949458,0.103922362,1.212255773,0.095945403,1.370481928,0.156289708,0.983100661,-0.008521675,0.900403769,-0.052407932,0.98021978,-0.009988901,1.126262626,0.059382423,1.171628722,0.079032258,1.172655565,0.079467527,1.207581227,0.094031071,1.188277087,0.086038961,1.343373494,0.146529563,0.872887583,-0.067869753,0.799461642,-0.11144353,0.87032967,-0.0693302,0.887892377,-0.059382423,1.04028021,0.019742489,1.041191937,0.020180335,1.072202166,0.034843206,1.055062167,0.026793431,1.192771084,0.087912088,0.839088905,-0.087495006,0.768506057,-0.130898021,0.836630037,-0.088950937,0.853512706,-0.079032258,0.961279461,-0.019742489,1.000876424,0.00043802,1.030685921,0.015111111,1.014209591,0.007054674,1.146586345,0.06828812,0.838354151,-0.087929656,0.767833109,-0.131328512,0.835897436,-0.089385475,0.852765321,-0.079467527,0.96043771,-0.020180335,0.999124343,-0.00043802,1.029783394,0.014673188,1.013321492,0.006616674,1.145582329,0.067852129,0.814107274,-0.102470636,0.745625841,-0.145720894,0.811721612,-0.103922362,0.828101644,-0.094031071,0.932659933,-0.034843206,0.970227671,-0.015111111,0.971078002,-0.014673188,0.98401421,-0.008057296,1.112449799,0.053231939,0.827332843,-0.094491355,0.757738896,-0.137825421,0.824908425,-0.095945403,0.841554559,-0.086038961,0.947811448,-0.026793431,0.985989492,-0.007054674,0.986853637,-0.006616674,1.016245487,0.008057296,1.130522088,0.061262959,0.731814842,-0.15485787,0.67025572,-0.197421434,0.72967033,-0.156289708,0.744394619,-0.146529563,0.838383838,-0.087912088,0.872154116,-0.06828812,0.872918493,-0.067852129,0.898916968,-0.053231939,0.884547069,-0.061262959
1006,923,1514,1697,1443,1449,1082,1071,984,1018,9.36,0.89216264,-0.056991591,1.049203049,0.024010822,1.044858523,0.021937226,1.399260628,0.166409861,1.41363212,0.171373308,1.538617886,0.212169736,1.487229862,0.195892575,1.504970179,0.201587302,1.640303359,0.242511284,1.120871863,0.056991591,1.176022176,0.08089172,1.171152519,0.078830261,1.568391867,0.221302627,1.584500467,0.226156069,1.724593496,0.265945543,1.666994106,0.250092081,1.686878728,0.255641879,1.838569881,0.295419847,0.953104359,-0.024010822,0.850324101,-0.08089172,0.995859213,-0.002074689,1.333641405,0.142970297,1.347338936,0.14797136,1.466463415,0.189122373,1.417485265,0.172694027,1.434393638,0.17844018,1.563380282,0.21978022,0.957067371,-0.021937226,0.853859753,-0.078830261,1.004158004,0.002074689,1.339186691,0.145001976,1.352941176,0.15,1.472560976,0.191122072,1.423379175,0.174706121,1.440357853,0.180448065,1.569880823,0.221753794,0.714663144,-0.166409861,0.637595757,-0.221302627,0.74982675,-0.142970297,0.746721877,-0.145001976,1.010270775,0.00510915,1.099593496,0.047434656,1.062868369,0.03047619,1.07554672,0.036398467,1.172264355,0.079301746,0.707397622,-0.171373308,0.63111373,-0.226156069,0.742203742,-0.14797136,0.739130435,-0.15,0.989833641,-0.00510915,1.088414634,0.042335766,1.052062868,0.025370991,1.064612326,0.031295137,1.160346696,0.074222668,0.64993395,-0.212169736,0.579846788,-0.265945543,0.681912682,-0.189122373,0.679089027,-0.191122072,0.909426987,-0.047434656,0.918767507,-0.042335766,0.966601179,-0.016983017,0.978131213,-0.011055276,1.066088841,0.031987415,0.672391017,-0.195892575,0.599882145,-0.250092081,0.705474705,-0.172694027,0.702553485,-0.174706121,0.940850277,-0.03047619,0.950513539,-0.025370991,1.034552846,0.016983017,1.011928429,0.005928854,1.102925244,0.048943843,0.664464993,-0.201587302,0.592810843,-0.255641879,0.697158697,-0.17844018,0.694271912,-0.180448065,0.929759704,-0.036398467,0.939309057,-0.031295137,1.022357724,0.011055276,0.988212181,-0.005928854,1.08992416,0.043027475,0.609643329,-0.242511284,0.543901002,-0.295419847,0.63963964,-0.21978022,0.636991028,-0.221753794,0.853049908,-0.079301746,0.861811391,-0.074222668,0.93800813,-0.031987415,0.906679764,-0.048943843,0.91749503,-0.043027475
117,73,604,487,380,415,381,388,295,298,3.77,1.240246407,0.107241063,1.589473684,0.227642276,1.455421687,0.185475957,1.585301837,0.226395939,1.556701031,0.217741935,2.047457627,0.343715239,2.026845638,0.33924612,5.162393162,0.675450763,8.273972603,0.784342688,0.806291391,-0.107241063,1.281578947,0.123414072,1.173493976,0.079822616,1.278215223,0.122119816,1.255154639,0.113142857,1.650847458,0.245524297,1.634228188,0.240764331,4.162393162,0.612582781,6.671232877,0.739285714,0.629139073,-0.227642276,0.780287474,-0.123414072,0.915662651,-0.044025157,0.997375328,-0.00131406,0.979381443,-0.010416667,1.288135593,0.125925926,1.275167785,0.120943953,3.247863248,0.52917505,5.205479452,0.677704194,0.687086093,-0.185475957,0.852156057,-0.079822616,1.092105263,0.044025157,1.089238845,0.042713568,1.069587629,0.03362391,1.406779661,0.169014085,1.39261745,0.164095372,3.547008547,0.560150376,5.684931507,0.700819672,0.630794702,-0.226395939,0.782340862,-0.122119816,1.002631579,0.00131406,0.918072289,-0.042713568,0.981958763,-0.009102731,1.291525424,0.127218935,1.27852349,0.122238586,3.256410256,0.530120482,5.219178082,0.678414097,0.642384106,-0.217741935,0.796714579,-0.113142857,1.021052632,0.010416667,0.934939759,-0.03362391,1.018372703,0.009102731,1.315254237,0.136163982,1.302013423,0.131195335,3.316239316,0.536633663,5.315068493,0.68329718,0.488410596,-0.343715239,0.605749487,-0.245524297,0.776315789,-0.125925926,0.710843373,-0.169014085,0.774278215,-0.127218935,0.760309278,-0.136163982,0.989932886,-0.005059022,2.521367521,0.432038835,4.04109589,0.60326087,0.493377483,-0.33924612,0.611909651,-0.240764331,0.784210526,-0.120943953,0.718072289,-0.164095372,0.782152231,-0.122238586,0.768041237,-0.131195335,1.010169492,0.005059022,2.547008547,0.436144578,4.082191781,0.606469003,0.193708609,-0.675450763,0.240246407,-0.612582781,0.307894737,-0.52917505,0.281927711,-0.560150376,0.307086614,-0.530120482,0.301546392,-0.536633663,0.396610169,-0.432038835,0.39261745,-0.436144578,1.602739726,0.231578947,0.120860927,-0.784342688,0.149897331,-0.739285714,0.192105263,-0.677704194,0.175903614,-0.700819672,0.19160105,-0.678414097,0.18814433,-0.68329718,0.247457627,-0.60326087,0.244966443,-0.606469003,0.623931624,-0.231578947
45,49,32,16,55,66,11,9,4,12,5.55,2,0.333333333,0.581818182,-0.264367816,0.484848485,-0.346938776,2.909090909,0.488372093,3.555555556,0.56097561,8,0.777777778,2.666666667,0.454545455,0.711111111,-0.168831169,0.653061224,-0.209876543,0.5,-0.333333333,0.290909091,-0.549295775,0.242424242,-0.609756098,1.454545455,0.185185185,1.777777778,0.28,4,0.6,1.333333333,0.142857143,0.355555556,-0.475409836,0.326530612,-0.507692308,1.71875,0.264367816,3.4375,0.549295775,0.833333333,-0.090909091,5,0.666666667,6.111111111,0.71875,13.75,0.86440678,4.583333333,0.641791045,1.222222222,0.1,1.12244898,0.057692308,2.0625,0.346938776,4.125,0.609756098,1.2,0.090909091,6,0.714285714,7.333333333,0.76,16.5,0.885714286,5.5,0.692307692,1.466666667,0.189189189,1.346938776,0.147826087,0.34375,-0.488372093,0.6875,-0.185185185,0.2,-0.666666667,0.166666667,-0.714285714,1.222222222,0.1,2.75,0.466666667,0.916666667,-0.043478261,0.244444444,-0.607142857,0.224489796,-0.633333333,0.28125,-0.56097561,0.5625,-0.28,0.163636364,-0.71875,0.136363636,-0.76,0.818181818,-0.1,2.25,0.384615385,0.75,-0.142857143,0.2,-0.666666667,0.183673469,-0.689655172,0.125,-0.777777778,0.25,-0.6,0.072727273,-0.86440678,0.060606061,-0.885714286,0.363636364,-0.466666667,0.444444444,-0.384615385,0.333333333,-0.5,0.088888889,-0.836734694,0.081632653,-0.849056604,0.375,-0.454545455,0.75,-0.142857143,0.218181818,-0.641791045,0.181818182,-0.692307692,1.090909091,0.043478261,1.333333333,0.142857143,3,0.5,0.266666667,-0.578947368,0.244897959,-0.606557377,1.40625,0.168831169,2.8125,0.475409836,0.818181818,-0.1,0.681818182,-0.189189189,4.090909091,0.607142857,5,0.666666667,11.25,0.836734694,3.75,0.578947368,0.918367347,-0.042553191,1.53125,0.209876543,3.0625,0.507692308,0.890909091,-0.057692308,0.742424242,-0.147826087,4.454545455,0.633333333,5.444444444,0.689655172,12.25,0.849056604,4.083333333,0.606557377,1.088888889,0.042553191
38,42,47,37,57,55,21,38,35,30,8.57,1.27027027,0.119047619,0.824561404,-0.096153846,0.854545455,-0.078431373,2.238095238,0.382352941,1.236842105,0.105882353,1.342857143,0.146341463,1.566666667,0.220779221,1.236842105,0.105882353,1.119047619,0.056179775,0.787234043,-0.119047619,0.649122807,-0.212765957,0.672727273,-0.195652174,1.761904762,0.275862069,0.973684211,-0.013333333,1.057142857,0.027777778,1.233333333,0.104477612,0.973684211,-0.013333333,0.880952381,-0.063291139,1.212765957,0.096153846,1.540540541,0.212765957,1.036363636,0.017857143,2.714285714,0.461538462,1.5,0.2,1.628571429,0.239130435,1.9,0.310344828,1.5,0.2,1.357142857,0.151515152,1.170212766,0.078431373,1.486486486,0.195652174,0.964912281,-0.017857143,2.619047619,0.447368421,1.447368421,0.182795699,1.571428571,0.222222222,1.833333333,0.294117647,1.447368421,0.182795699,1.30952381,0.134020619,0.446808511,-0.382352941,0.567567568,-0.275862069,0.368421053,-0.461538462,0.381818182,-0.447368421,0.552631579,-0.288135593,0.6,-0.25,0.7,-0.176470588,0.552631579,-0.288135593,0.5,-0.333333333,0.808510638,-0.105882353,1.027027027,0.013333333,0.666666667,-0.2,0.690909091,-0.182795699,1.80952381,0.288135593,1.085714286,0.04109589,1.266666667,0.117647059,1,0,0.904761905,-0.05,0.744680851,-0.146341463,0.945945946,-0.027777778,0.614035088,-0.239130435,0.636363636,-0.222222222,1.666666667,0.25,0.921052632,-0.04109589,1.166666667,0.076923077,0.921052632,-0.04109589,0.833333333,-0.090909091,0.638297872,-0.220779221,0.810810811,-0.104477612,0.526315789,-0.310344828,0.545454545,-0.294117647,1.428571429,0.176470588,0.789473684,-0.117647059,0.857142857,-0.076923077,0.789473684,-0.117647059,0.714285714,-0.166666667,0.808510638,-0.105882353,1.027027027,0.013333333,0.666666667,-0.2,0.690909091,-0.182795699,1.80952381,0.288135593,1,0,1.085714286,0.04109589,1.266666667,0.117647059,0.904761905,-0.05,0.893617021,-0.056179775,1.135135135,0.063291139,0.736842105,-0.151515152,0.763636364,-0.134020619,2,0.333333333,1.105263158,0.05,1.2,0.090909091,1.4,0.166666667,1.105263158,0.05
