Actual,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NDTI
2.7,412,218,147,306,237,515,1129,1338,1474,1479,-0.127071823
2.63,358,142,28,170,96,375,1011,1219,1362,1395,-0.278195489
3.15,580,293,273,438,319,663,1523,1647,1790,1869,-0.157199472
2.52,431,200,20,198,121,437,1121,1374,1634,1578,-0.24137931
1.97,816,546,577,796,638,979,1688,2067,1941,2026,-0.110181311
2.15,533,283,143,321,229,572,1326,1633,1599,1750,-0.167272727
1.57,418,155,118,280,154,528,1281,1734,1607,1696,-0.290322581
2.5,409,151,0,117,28,341,1322,1588,1583,1708,-0.613793103
1.56,470,203,170,274,214,568,1486,1845,1793,1855,-0.12295082
1.43,363,134,289,297,186,411,1051,1331,1405,1418,-0.229813665
1.33,227,78,11,152,96,344,851,1094,1112,1158,-0.225806452
7.52,864,598,420,613,506,861,1673,1957,1859,2078,-0.09562109
1.63,742,512,255,431,329,684,1437,1671,1708,1835,-0.134210526
1.73,405,155,155,235,132,435,1270,1572,1495,1610,-0.280653951
23.25,203,76,85,148,76,251,745,958,1018,1040,-0.321428571
41.88,207,70,13,127,70,237,726,1137,1066,1083,-0.289340102
0.47,244,98,10,143,82,218,653,918,854,998,-0.271111111
1.61,537,358,370,518,436,714,1204,1459,1447,1514,-0.085953878
0.74,307,130,23,167,89,296,860,1165,1172,1275,-0.3046875
0.52,417,250,214,318,214,448,971,1229,1150,1194,-0.195488722
1.54,744,541,1421,1118,834,943,1059,1163,1391,1146,-0.145491803
0.22,524,294,52,240,95,509,1458,1925,1700,2035,-0.432835821
1.2,563,295,400,583,413,786,1539,2016,1847,1968,-0.170682731
1.79,254,148,149,314,233,461,728,889,958,975,-0.148080439
0.29,301,107,112,195,124,358,1102,1371,1574,1506,-0.222570533
0.92,219,86,86,257,160,333,833,934,1021,1103,-0.232613909
3.03,41,36,51,128,100,77,3,0,1,0,-0.122807018
2.02,297,256,412,560,373,335,255,282,250,273,-0.200428725
1.83,328,279,373,455,366,379,337,331,286,340,-0.108404385
1.24,821,726,1077,1134,1012,1029,903,916,874,884,-0.056849953
1,924,816,1006,1101,1005,989,872,867,793,829,-0.045584046
1.16,649,575,806,853,751,786,681,723,729,675,-0.063591022
2.27,23,28,48,54,56,28,0,0,0,0,0.018181818
2.4,13,29,0,34,41,39,0,0,0,0,0.093333333
2.54,39,37,11,82,97,63,14,23,16,8,0.083798883
3.98,150,137,290,350,286,255,166,167,166,147,-0.100628931
2.79,117,107,204,259,227,204,153,151,143,157,-0.065843621
2.43,236,211,368,443,366,341,219,250,232,201,-0.095179234
2.05,330,300,545,654,528,486,367,389,376,357,-0.106598985
2.27,891,810,1141,1228,1079,1081,938,962,935,939,-0.064586042
3.02,778,700,989,1064,1032,1141,880,837,770,805,-0.015267176
3.8,21,26,417,664,261,163,0,0,0,0,-0.435675676
8.16,11,25,448,701,284,172,0,0,0,0,-0.423350254
5.96,540,484,958,1159,822,689,518,483,520,476,-0.170116103
6.22,1037,922,1476,1673,1296,1280,1056,1054,1064,1034,-0.126978781
4.64,763,673,928,1144,927,957,780,775,672,747,-0.104780299
3.93,577,538,764,923,758,746,547,547,489,528,-0.09815586
2.05,660,573,836,1003,808,809,652,634,648,635,-0.107675318
2.05,132,108,180,288,191,215,86,108,79,100,-0.202505219
2.25,20,29,0,22,8,0,0,0,0,0,-0.466666667
6.68,206,177,588,738,522,466,268,272,279,233,-0.171428571
2.63,69,66,218,449,211,121,0,0,0,0,-0.360606061
2.6,549,488,933,1119,832,764,617,626,619,599,-0.147104049
2.58,74,73,321,485,208,152,59,65,69,62,-0.3997114
1.27,1011,914,1107,1229,1144,1229,1054,1069,959,1063,-0.035819638
21.45,186,169,429,622,441,453,240,232,225,200,-0.170272813
5.77,31,28,211,354,282,218,20,33,26,10,-0.113207547
2.65,584,508,890,1125,859,794,621,622,643,602,-0.134072581
2.42,1047,973,1273,1488,1229,1242,1076,1080,1043,1060,-0.095325727
3.21,274,261,310,440,377,390,254,266,216,266,-0.077111383
5.04,251,224,374,621,487,481,231,256,213,222,-0.120938628
1.38,29,18,66,324,170,105,0,0,0,0,-0.311740891
4.97,96,70,350,543,325,233,108,113,123,109,-0.251152074
4.67,286,249,912,1058,615,520,328,340,326,312,-0.264793784
15.47,285,213,1136,1202,690,557,327,311,377,261,-0.270613108
1.64,74,58,470,694,296,197,55,60,60,64,-0.402020202
1.36,895,812,1236,1498,1156,1117,971,960,887,954,-0.128862095
2.25,3775,3797,4858,4500,4152,4361,4308,4236,4210,4128,-0.040221914
4.2,294,468,246,494,279,315,244,280,316,348,-0.278137128
2.94,7,11,325,586,290,229,0,8,0,0,-0.337899543
4.24,30,26,661,932,411,297,12,25,8,3,-0.387937453
