Actual_value,B2,B3,B4,B5,B6,B7,B8,B8A,NDCI,B5/B4,B4/B3,B2/B3
4.69,45,43,40,42,23,42,23,29,0.024390244,1.05,0.930232558,1.046511628
5.64,66,68,59,82,65,79,55,50,0.163120567,1.389830508,0.867647059,0.970588235
5.86,66,68,59,82,65,79,55,50,0.163120567,1.389830508,0.867647059,0.970588235
5.08,255,223,212,213,153,159,152,140,0.002352941,1.004716981,0.950672646,1.143497758
4.98,255,223,212,213,153,159,152,140,0.002352941,1.004716981,0.950672646,1.143497758
5.37,19,23,28,31,13,21,13,19,0.050847458,1.107142857,1.217391304,0.826086957
5,19,23,28,31,13,21,13,19,0.050847458,1.107142857,1.217391304,0.826086957
16.83,13,25,31,42,0,17,15,0,0.150684932,1.35483871,1.24,0.52
17.71,13,25,31,42,0,17,15,0,0.150684932,1.35483871,1.24,0.52
7.12,190,173,156,168,95,123,88,93,0.037037037,1.076923077,0.901734104,1.098265896
8.95,190,173,156,168,95,123,88,93,0.037037037,1.076923077,0.901734104,1.098265896
5.7,235,268,248,279,208,224,177,204,0.058823529,1.125,0.925373134,0.876865672
9.07,235,268,248,279,208,224,177,204,0.058823529,1.125,0.925373134,0.876865672
5.21,297,285,251,229,179,198,158,163,-0.045833333,0.912350598,0.880701754,1.042105263
6.35,297,285,251,229,179,198,158,163,-0.045833333,0.912350598,0.880701754,1.042105263
6.14,75,64,41,57,29,25,20,8,0.163265306,1.390243902,0.640625,1.171875
6.56,75,64,41,57,29,25,20,8,0.163265306,1.390243902,0.640625,1.171875
2.99,240,132,148,145,85,89,111,74,-0.010238908,0.97972973,1.121212121,1.818181818
3.16,240,132,148,145,85,89,111,74,-0.010238908,0.97972973,1.121212121,1.818181818
2.97,24,32,47,53,31,46,30,29,0.06,1.127659574,1.46875,0.75
2.84,24,32,47,53,31,46,30,29,0.06,1.127659574,1.46875,0.75
1.94,94,64,75,92,69,81,63,52,0.101796407,1.226666667,1.171875,1.46875
1.98,94,64,75,92,69,81,63,52,0.101796407,1.226666667,1.171875,1.46875
1.92,68,64,62,58,32,50,47,26,-0.033333333,0.935483871,0.96875,1.0625
1.96,68,64,62,58,32,50,47,26,-0.033333333,0.935483871,0.96875,1.0625
3.5,116,96,104,122,86,86,101,44,0.079646018,1.173076923,1.083333333,1.208333333
8.04,108,86,68,67,31,39,33,13,-0.007407407,0.985294118,0.790697674,1.255813953
7.54,108,86,68,67,31,39,33,13,-0.007407407,0.985294118,0.790697674,1.255813953
5.69,103,119,110,109,57,66,59,55,-0.00456621,0.990909091,0.924369748,0.865546218
5.62,103,119,110,109,57,66,59,55,-0.00456621,0.990909091,0.924369748,0.865546218
5.98,161,157,136,123,88,83,86,57,-0.05019305,0.904411765,0.866242038,1.025477707
5.78,161,157,136,123,88,83,86,57,-0.05019305,0.904411765,0.866242038,1.025477707
5.71,196,232,220,217,191,192,183,178,-0.006864989,0.986363636,0.948275862,0.844827586
5.73,196,232,220,217,191,192,183,178,-0.006864989,0.986363636,0.948275862,0.844827586
11.14,529,559,570,575,539,532,522,521,0.004366812,1.00877193,1.019677996,0.946332737
14.76,529,559,570,575,539,532,522,521,0.004366812,1.00877193,1.019677996,0.946332737
4.32,765,772,820,826,806,783,719,758,0.0036452,1.007317073,1.062176166,0.990932642
4.48,765,772,820,826,806,783,719,758,0.0036452,1.007317073,1.062176166,0.990932642
5.59,743,761,762,854,784,802,762,762,0.056930693,1.120734908,1.00131406,0.976346912
5.4,743,761,762,854,784,802,762,762,0.056930693,1.120734908,1.00131406,0.976346912
10.81,64,74,69,74,23,43,33,37,0.034965035,1.072463768,0.932432432,0.864864865
9.6,64,74,69,74,23,43,33,37,0.034965035,1.072463768,0.932432432,0.864864865
6.65,142,111,108,107,74,82,69,66,-0.004651163,0.990740741,0.972972973,1.279279279
5.86,12,33,36,36,19,23,2,10,0,1,1.090909091,0.363636364
7.61,12,33,36,36,19,23,2,10,0,1,1.090909091,0.363636364
5.67,159,137,129,129,78,85,66,57,0,1,0.941605839,1.160583942
8.08,159,137,129,129,78,85,66,57,0,1,0.941605839,1.160583942
5.52,58,111,85,82,52,60,51,49,-0.017964072,0.964705882,0.765765766,0.522522523
6.08,221,208,188,182,119,141,116,102,-0.016216216,0.968085106,0.903846154,1.0625
