Actual,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NDCI,RATIO_B2_B3,ND_B2_B3,RATIO_B2_B4,ND_B2_B4,RATIO_B2_B5,ND_B2_B5,RATIO_B2_B6,ND_B2_B6,RATIO_B2_B7,ND_B2_B7,RATIO_B2_B8,ND_B2_B8,RATIO_B3_B2,ND_B3_B2,RATIO_B3_B4,ND_B3_B4,RATIO_B3_B5,ND_B3_B5,RATIO_B3_B6,ND_B3_B6,RATIO_B3_B7,ND_B3_B7,RATIO_B3_B8,ND_B3_B8,RATIO_B4_B2,ND_B4_B2,RATIO_B4_B3,ND_B4_B3,RATIO_B4_B5,ND_B4_B5,RATIO_B4_B6,ND_B4_B6,RATIO_B4_B7,ND_B4_B7,RATIO_B4_B8,ND_B4_B8,RATIO_B5_B2,ND_B5_B2,RATIO_B5_B3,ND_B5_B3,RATIO_B5_B4,ND_B5_B4,RATIO_B5_B6,ND_B5_B6,RATIO_B5_B7,ND_B5_B7,RATIO_B5_B8,ND_B5_B8,RATIO_B6_B2,ND_B6_B2,RATIO_B6_B3,ND_B6_B3,RATIO_B6_B4,ND_B6_B4,RATIO_B6_B5,ND_B6_B5,RATIO_B6_B7,ND_B6_B7,RATIO_B6_B8,ND_B6_B8,RATIO_B7_B2,ND_B7_B2,RATIO_B7_B3,ND_B7_B3,RATIO_B7_B4,ND_B7_B4,RATIO_B7_B5,ND_B7_B5,RATIO_B7_B6,ND_B7_B6,RATIO_B7_B8,ND_B7_B8,RATIO_B8_B2,ND_B8_B2,RATIO_B8_B3,ND_B8_B3,RATIO_B8_B4,ND_B8_B4,RATIO_B8_B5,ND_B8_B5,RATIO_B8_B6,ND_B8_B6,RATIO_B8_B7,ND_B8_B7
1.92,860,750,982,1104,1045,1017,834,819,826,822,-0.013579049,0.8894927536231884,-0.058485139022051776,0.939712918660287,-0.031080414405525406,0.9655850540806293,-0.017508754377188594,1.1774580335731415,0.08149779735682819,1.199023199023199,0.09050527484730705,1.188861985472155,0.08628318584070796,1.124236252545825,0.058485139022051776,1.0564593301435408,0.027454630060493253,1.0855457227138643,0.04101838755304102,1.3237410071942446,0.1393188854489164,1.347985347985348,0.1482059282371295,1.3365617433414043,0.14404145077720207,1.0641547861507128,0.031080414405525406,0.9465579710144928,-0.027454630060493253,1.0275319567354966,0.013579049466537343,1.2529976019184652,0.11229377328366152,1.2759462759462759,0.12124463519313304,1.265133171912833,0.11704970603955105,1.035641547861507,0.017508754377188594,0.9211956521739131,-0.04101838755304102,0.9732057416267943,-0.013579049466537343,1.2194244604316546,0.09886547811993517,1.2417582417582418,0.10784313725490197,1.2312348668280872,0.10363537710255019,0.8492871690427699,-0.08149779735682819,0.7554347826086957,-0.1393188854489164,0.7980861244019138,-0.11229377328366152,0.8200589970501475,-0.09886547811993517,1.0183150183150182,0.009074410163339383,1.0096852300242132,0.004819277108433735,0.8340122199592668,-0.09050527484730705,0.7418478260869565,-0.1482059282371295,0.783732057416268,-0.12124463519313304,0.8053097345132744,-0.10784313725490197,0.9820143884892086,-0.009074410163339383,0.9915254237288136,-0.00425531914893617,0.8411405295315683,-0.08628318584070796,0.7481884057971014,-0.14404145077720207,0.7904306220095694,-0.11704970603955105,0.8121927236971485,-0.10363537710255019,0.9904076738609112,-0.004819277108433735,1.0085470085470085,0.00425531914893617
3.93,873,768,1001,994,1002,1002,900,802,837,831,0.0,1.0070422535211268,0.0035087719298245615,0.999001996007984,-0.0004992511233150275,0.999001996007984,-0.0004992511233150275,1.1122222222222222,0.05312993161493951,1.2481296758104738,0.11037160288408208,1.1959378733572281,0.08922742110990206,0.993006993006993,-0.0035087719298245615,0.9920159680638723,-0.004008016032064128,0.9920159680638723,-0.004008016032064128,1.1044444444444443,0.04963041182682154,1.2394014962593516,0.10690423162583519,1.1875746714456392,0.08574549426542873,1.000999000999001,0.0004992511233150275,1.0080482897384306,0.004008016032064128,1.0,0.0,1.1133333333333333,0.05362776025236593,1.2493765586034913,0.11086474501108648,1.1971326164874552,0.08972267536704731,1.000999000999001,0.0004992511233150275,1.0080482897384306,0.004008016032064128,1.0,0.0,1.1133333333333333,0.05362776025236593,1.2493765586034913,0.11086474501108648,1.1971326164874552,0.08972267536704731,0.8991008991008991,-0.05312993161493951,0.9054325955734407,-0.04963041182682154,0.8982035928143712,-0.05362776025236593,0.8982035928143712,-0.05362776025236593,1.1221945137157108,0.057579318448883664,1.075268817204301,0.03626943005181347,0.8011988011988012,-0.11037160288408208,0.806841046277666,-0.10690423162583519,0.8003992015968064,-0.11086474501108648,0.8003992015968064,-0.11086474501108648,0.8911111111111111,-0.057579318448883664,0.9581839904420549,-0.021354484441732765,0.8361638361638362,-0.08922742110990206,0.8420523138832998,-0.08574549426542873,0.8353293413173652,-0.08972267536704731,0.8353293413173652,-0.08972267536704731,0.93,-0.03626943005181347,1.0436408977556109,0.021354484441732765
2.83,674,600,628,697,758,849,741,705,577,684,0.056627256,0.9010043041606887,-0.052075471698113204,0.8284960422163589,-0.09379509379509379,0.7396937573616019,-0.14962762356127285,0.8475033738191633,-0.08254200146092038,0.8907801418439716,-0.05776444111027757,1.0883882149046793,0.04232365145228216,1.1098726114649682,0.052075471698113204,0.9195250659630607,-0.04192439862542955,0.8209658421672555,-0.09831824062095731,0.9406207827260459,-0.030598052851182198,0.9886524822695035,-0.005706134094151213,1.2079722703639515,0.09419152276295134,1.2070063694267517,0.09379509379509379,1.0875179340028693,0.04192439862542955,0.8928150765606596,-0.0566272557560672,1.0229419703103915,0.01134089392928619,1.075177304964539,0.036226930963773066,1.3136915077989602,0.1355805243445693,1.3519108280254777,0.14962762356127285,1.218077474892396,0.09831824062095731,1.1200527704485488,0.0566272557560672,1.145748987854251,0.06792452830188679,1.2042553191489362,0.09266409266409266,1.4714038128249567,0.19074333800841514,1.179936305732484,0.08254200146092038,1.0631276901004305,0.030598052851182198,0.9775725593667546,-0.01134089392928619,0.872791519434629,-0.06792452830188679,1.0510638297872341,0.024896265560165973,1.2842287694974004,0.1244309559939302,1.122611464968153,0.05776444111027757,1.011477761836442,0.005706134094151213,0.9300791556728232,-0.036226930963773066,0.8303886925795053,-0.09266409266409266,0.951417004048583,-0.024896265560165973,1.2218370883882148,0.0998439937597504,0.9187898089171974,-0.04232365145228216,0.8278335724533716,-0.09419152276295134,0.7612137203166227,-0.1355805243445693,0.6796230859835101,-0.19074333800841514,0.7786774628879892,-0.1244309559939302,0.8184397163120567,-0.0998439937597504
5.86,57,67,7,47,69,99,16,34,31,18,0.178571429,0.14893617021276595,-0.7407407407407407,0.10144927536231885,-0.8157894736842105,0.0707070707070707,-0.8679245283018868,0.4375,-0.391304347826087,0.20588235294117646,-0.6585365853658537,0.22580645161290322,-0.631578947368421,6.714285714285714,0.7407407407407407,0.6811594202898551,-0.1896551724137931,0.47474747474747475,-0.3561643835616438,2.9375,0.49206349206349204,1.3823529411764706,0.16049382716049382,1.5161290322580645,0.20512820512820512,9.857142857142858,0.8157894736842105,1.4680851063829787,0.1896551724137931,0.696969696969697,-0.17857142857142858,4.3125,0.6235294117647059,2.0294117647058822,0.33980582524271846,2.225806451612903,0.38,14.142857142857142,0.8679245283018868,2.106382978723404,0.3561643835616438,1.434782608695652,0.17857142857142858,6.1875,0.7217391304347827,2.911764705882353,0.48872180451127817,3.193548387096774,0.5230769230769231,2.2857142857142856,0.391304347826087,0.3404255319148936,-0.49206349206349204,0.2318840579710145,-0.6235294117647059,0.16161616161616163,-0.7217391304347827,0.47058823529411764,-0.36,0.5161290322580645,-0.3191489361702128,4.857142857142857,0.6585365853658537,0.723404255319149,-0.16049382716049382,0.4927536231884058,-0.33980582524271846,0.3434343434343434,-0.48872180451127817,2.125,0.36,1.096774193548387,0.046153846153846156,4.428571428571429,0.631578947368421,0.6595744680851063,-0.20512820512820512,0.4492753623188406,-0.38,0.31313131313131315,-0.5230769230769231,1.9375,0.3191489361702128,0.9117647058823529,-0.046153846153846156
1.65,595,522,799,997,840,764,587,593,619,554,-0.047381546,0.8014042126379137,-0.11024498886414254,0.9511904761904761,-0.025015253203172667,1.0458115183246073,0.022392834293026232,1.3611584327086883,0.15295815295815296,1.3473861720067453,0.14798850574712644,1.2907915993537964,0.12693935119887165,1.2478097622027535,0.11024498886414254,1.186904761904762,0.085465432770822,1.3049738219895288,0.13231118682566723,1.698466780238501,0.2588383838383838,1.6812816188870152,0.2540880503144654,1.6106623586429725,0.23391089108910892,1.0513141426783479,0.025015253203172667,0.8425275827482447,-0.085465432770822,1.0994764397905759,0.04738154613466334,1.4310051107325383,0.17729502452697968,1.4165261382799326,0.17236566643405443,1.35702746365105,0.1514736120630569,0.9561952440550688,-0.022392834293026232,0.7662988966900702,-0.13231118682566723,0.9095238095238095,-0.04738154613466334,1.301533219761499,0.13101406365655072,1.2883642495784149,0.1260132645541636,1.234248788368336,0.10484454085321765,0.7346683354192741,-0.15295815295815296,0.5887662988966901,-0.2588383838383838,0.6988095238095238,-0.17729502452697968,0.768324607329843,-0.13101406365655072,0.9898819561551433,-0.005084745762711864,0.9483037156704361,-0.026533996683250415,0.7421777221526908,-0.14798850574712644,0.5947843530591775,-0.2540880503144654,0.705952380952381,-0.17236566643405443,0.7761780104712042,-0.1260132645541636,1.010221465076661,0.005084745762711864,0.9579967689822294,-0.02145214521452145,0.7747183979974969,-0.12693935119887165,0.6208625877632898,-0.23391089108910892,0.736904761904762,-0.1514736120630569,0.8102094240837696,-0.10484454085321765,1.0545144804088586,0.026533996683250415,1.0438448566610454,0.02145214521452145
1.99,1126,996,1361,1486,1365,1338,1188,1142,1141,1108,-0.009988901,0.9158815612382234,-0.04390586582367404,0.9970695970695971,-0.001467351430667645,1.0171898355754858,0.008521674694331233,1.1456228956228955,0.06786975284425265,1.191768826619965,0.08749500599280863,1.1928133216476775,0.08792965627498002,1.091844232182219,0.04390586582367404,1.0886446886446886,0.04244124868467204,1.1106128550074739,0.05240793201133145,1.2508417508417509,0.11144353029169783,1.3012259194395797,0.1308980213089802,1.3023663453111305,0.13132851161020176,1.002939015429831,0.001467351430667645,0.9185733512786003,-0.04244124868467204,1.0201793721973094,0.009988901220865706,1.148989898989899,0.06933019976498238,1.1952714535901927,0.08895093737534902,1.196319018404908,0.0893854748603352,0.9831006612784717,-0.008521674694331233,0.9004037685060565,-0.05240793201133145,0.9802197802197802,-0.009988901220865706,1.1262626262626263,0.05938242280285035,1.1716287215411558,0.07903225806451612,1.1726555652936022,0.07946752722872126,0.8728875826598089,-0.06786975284425265,0.7994616419919246,-0.11144353029169783,0.8703296703296703,-0.06933019976498238,0.8878923766816144,-0.05938242280285035,1.0402802101576183,0.019742489270386267,1.0411919368974583,0.020180334907685702,0.8390889052167524,-0.08749500599280863,0.7685060565275909,-0.1308980213089802,0.8366300366300367,-0.08895093737534902,0.8535127055306427,-0.07903225806451612,0.9612794612794613,-0.019742489270386267,1.0008764241893076,0.0004380201489268506,0.8383541513592946,-0.08792965627498002,0.7678331090174967,-0.13132851161020176,0.8358974358974359,-0.0893854748603352,0.8527653213751868,-0.07946752722872126,0.9604377104377104,-0.020180334907685702,0.999124343257443,-0.0004380201489268506
3.4,1006,923,1514,1697,1443,1449,1082,1071,984,1018,0.002074689,0.8921626399528579,-0.05699159140454687,1.0492030492030493,0.024010821778829895,1.0448585231193928,0.021937225784677692,1.399260628465804,0.16640986132511557,1.4136321195144725,0.17137330754352031,1.5386178861788617,0.2121697357886309,1.1208718626155878,0.05699159140454687,1.176022176022176,0.08089171974522293,1.1711525189786058,0.07883026064844247,1.5683918669131238,0.22130262684418855,1.584500466853408,0.22615606936416185,1.7245934959349594,0.2659455427079448,0.9531043593130779,-0.024010821778829895,0.850324101355333,-0.08089171974522293,0.9958592132505176,-0.002074688796680498,1.3336414048059149,0.14297029702970296,1.3473389355742298,0.14797136038186157,1.4664634146341464,0.18912237330037082,0.9570673712021136,-0.021937225784677692,0.8538597525044196,-0.07883026064844247,1.004158004158004,0.002074688796680498,1.3391866913123844,0.14500197550375346,1.3529411764705883,0.15,1.4725609756097562,0.19112207151664612,0.714663143989432,-0.16640986132511557,0.637595757218621,-0.22130262684418855,0.7498267498267498,-0.14297029702970296,0.7467218771566597,-0.14500197550375346,1.0102707749766573,0.005109150023223409,1.0995934959349594,0.04743465634075508,0.7073976221928666,-0.17137330754352031,0.6311137301119623,-0.22615606936416185,0.7422037422037422,-0.14797136038186157,0.7391304347826086,-0.15,0.9898336414048059,-0.005109150023223409,1.0884146341463414,0.042335766423357665,0.6499339498018494,-0.2121697357886309,0.5798467884502062,-0.2659455427079448,0.681912681912682,-0.18912237330037082,0.6790890269151139,-0.19112207151664612,0.9094269870609981,-0.04743465634075508,0.9187675070028011,-0.042335766423357665
5.0,117,73,604,487,380,415,381,388,295,298,0.044025157,1.2402464065708418,0.10724106324472961,1.5894736842105264,0.22764227642276422,1.455421686746988,0.18547595682041218,1.5853018372703411,0.2263959390862944,1.556701030927835,0.21774193548387097,2.047457627118644,0.3437152391546162,0.8062913907284768,-0.10724106324472961,1.2815789473684212,0.12341407151095732,1.1734939759036145,0.07982261640798226,1.2782152230971129,0.12211981566820276,1.2551546391752577,0.11314285714285714,1.6508474576271186,0.24552429667519182,0.6291390728476821,-0.22764227642276422,0.7802874743326489,-0.12341407151095732,0.9156626506024096,-0.0440251572327044,0.9973753280839895,-0.001314060446780552,0.979381443298969,-0.010416666666666666,1.2881355932203389,0.1259259259259259,0.6870860927152318,-0.18547595682041218,0.8521560574948666,-0.07982261640798226,1.0921052631578947,0.0440251572327044,1.0892388451443569,0.04271356783919598,1.0695876288659794,0.033623910336239106,1.4067796610169492,0.16901408450704225,0.6307947019867549,-0.2263959390862944,0.7823408624229979,-0.12211981566820276,1.0026315789473683,0.001314060446780552,0.9180722891566265,-0.04271356783919598,0.9819587628865979,-0.009102730819245773,1.2915254237288136,0.12721893491124261,0.6423841059602649,-0.21774193548387097,0.7967145790554415,-0.11314285714285714,1.0210526315789474,0.010416666666666666,0.9349397590361446,-0.033623910336239106,1.0183727034120735,0.009102730819245773,1.3152542372881355,0.13616398243045388,0.48841059602649006,-0.3437152391546162,0.6057494866529775,-0.24552429667519182,0.7763157894736842,-0.1259259259259259,0.7108433734939759,-0.16901408450704225,0.7742782152230971,-0.12721893491124261,0.7603092783505154,-0.13616398243045388
5.12,45,49,32,16,55,66,11,9,4,12,0.090909091,2.0,0.3333333333333333,0.5818181818181818,-0.26436781609195403,0.48484848484848486,-0.3469387755102041,2.909090909090909,0.4883720930232558,3.5555555555555554,0.5609756097560976,8.0,0.7777777777777778,0.5,-0.3333333333333333,0.2909090909090909,-0.5492957746478874,0.24242424242424243,-0.6097560975609756,1.4545454545454546,0.18518518518518517,1.7777777777777777,0.28,4.0,0.6,1.71875,0.26436781609195403,3.4375,0.5492957746478874,0.8333333333333334,-0.09090909090909091,5.0,0.6666666666666666,6.111111111111111,0.71875,13.75,0.864406779661017,2.0625,0.3469387755102041,4.125,0.6097560975609756,1.2,0.09090909090909091,6.0,0.7142857142857143,7.333333333333333,0.76,16.5,0.8857142857142857,0.34375,-0.4883720930232558,0.6875,-0.18518518518518517,0.2,-0.6666666666666666,0.16666666666666666,-0.7142857142857143,1.2222222222222223,0.1,2.75,0.4666666666666667,0.28125,-0.5609756097560976,0.5625,-0.28,0.16363636363636364,-0.71875,0.13636363636363635,-0.76,0.8181818181818182,-0.1,2.25,0.38461538461538464,0.125,-0.7777777777777778,0.25,-0.6,0.07272727272727272,-0.864406779661017,0.06060606060606061,-0.8857142857142857,0.36363636363636365,-0.4666666666666667,0.4444444444444444,-0.38461538461538464
3.3,38,42,47,37,57,55,21,38,35,30,-0.017857143,1.2702702702702702,0.11904761904761904,0.8245614035087719,-0.09615384615384616,0.8545454545454545,-0.0784313725490196,2.238095238095238,0.38235294117647056,1.236842105263158,0.10588235294117647,1.3428571428571427,0.14634146341463414,0.7872340425531915,-0.11904761904761904,0.6491228070175439,-0.2127659574468085,0.6727272727272727,-0.1956521739130435,1.7619047619047619,0.27586206896551724,0.9736842105263158,-0.013333333333333334,1.0571428571428572,0.027777777777777776,1.2127659574468086,0.09615384615384616,1.5405405405405406,0.2127659574468085,1.0363636363636364,0.017857142857142856,2.7142857142857144,0.46153846153846156,1.5,0.2,1.6285714285714286,0.2391304347826087,1.1702127659574468,0.0784313725490196,1.4864864864864864,0.1956521739130435,0.9649122807017544,-0.017857142857142856,2.619047619047619,0.4473684210526316,1.4473684210526316,0.1827956989247312,1.5714285714285714,0.2222222222222222,0.44680851063829785,-0.38235294117647056,0.5675675675675675,-0.27586206896551724,0.3684210526315789,-0.46153846153846156,0.38181818181818183,-0.4473684210526316,0.5526315789473685,-0.288135593220339,0.6,-0.25,0.8085106382978723,-0.10588235294117647,1.027027027027027,0.013333333333333334,0.6666666666666666,-0.2,0.6909090909090909,-0.1827956989247312,1.8095238095238095,0.288135593220339,1.0857142857142856,0.0410958904109589,0.7446808510638298,-0.14634146341463414,0.9459459459459459,-0.027777777777777776,0.6140350877192983,-0.2391304347826087,0.6363636363636364,-0.2222222222222222,1.6666666666666667,0.25,0.9210526315789473,-0.0410958904109589
